0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
65,you,love,best,thank,like,re,share,plan,find,matter,hope,organizing,president obama #ofafallsummit,obama #ofafallsummit,refuse,find plan,work,come,person,what
66,working,hard,families,hard working,working families,#leadonleave,americans,working american,paid,leave,#fixovertime,working family,expanding,paid leave,protection,sick,paid sick,would,#collegeopportunity,paid sick leave
67,this,miss,want,politics,deal,house,got,#sotu,issue,#dosomething,obama #acaworks,president obama #acaworks,#acaworks,2,part,cannot,rights,ready,across,best
68,#itsonus,sexual,assault,sexual assault,obama #itsonus,pledge,everyone,play,stop,watch,help,@vp,rt,message,around,took,men,tonight,start,longer
69,energy,clean energy,clean,solar,solar energy,investment,wind,rt @factsonclimate,@factsonclimate,investing,industry,announcing,stay,way,billion,jobs,4,years,america s,water
70,open,enrollment,open enrollment,marketplace,marketplace open,back,#netneutrality,internet,free,again,find,find plan,plan,around,sign petition,end,petition,friend,right,start
71,check,option,check option,check out,out,list,check president,check president obama,options,easy,february,covered,year,interview,to,great,volunteer,marketplace,question,obamacare
72,family,yours,from,working family,#leadonleave,paid,leave,go,tell,poverty,on,july,friend,raising,paid leave,full,love,covered,save,five
73,act,affordable,affordable care,affordable care act,care act,care,president obama #acaworks,obama #acaworks,#acaworks,anniversary,talking,stay,thanks,#disarmhate,success,#unitedonclimate,congress,go,matters,right
74,say,ready,final,continue,former,go,part,#sotu,friend,everyone,stand,recess,support,in,global,fight,tune in,moment,tune,work
