id,user_id,created_at,tweet_text,President Obama,Fight climate Change,Judge Garland nomination,White House twitter handle,President Obama live speech
6.09385E+17,813286,6/12/2015 15:40,This is what's at stake for workers across the country if Congress votes no on expanding TAA: http://t.co/AdFNJVUny0,0,0,0.0064,0,0
6.42004E+17,813286,9/10/2015 15:59,Progress happens when people fight for it. Join the movement--say you're in: http://t.co/SJBTJ4HLP9 http://t.co/rjGXjzlblf,0,0,0,0,0
6.21078E+17,813286,7/14/2015 22:06,"""If we keep taking steps toward a more perfect union ... America will move forward. There's nothing we can't do."" --President Obama",0.026,0,0,0,0
5.14494E+17,813286,9/23/2014 19:16,Now is the time to step up and support serious action to fight climate change: http://t.co/hs9QXI4orW #ActOnClimate,0,0.1302,0,0,0
7.56186E+17,813286,7/21/2016 17:55,"By almost every economic measure, our economy is better off than it was eight years ago. https://t.co/iWSkzgSIkG",0.0005,0,0,0,0
6.61971E+17,813286,11/4/2015 18:19,Finding a plan that fits your needs is easy. Check out your options and #GetCovered: https://t.co/1McmRF5opi https://t.co/xX0cVzJgxb,0,0,0,0,0
5.74308E+17,813286,3/7/2015 20:37,"""What greater form of patriotism is there than the belief that America is not yet finished."" --President Obama #Selma50 #MarchOn",0.0379,0,0,0,0
7.76461E+17,813286,9/15/2016 16:39,"President Obama just made history by protecting nearly 5,000 square miles off the New England coast. https://t.co/i8MAFYU60k #OurOcean",0.0413,0,0,0,0
6.47089E+17,813286,9/24/2015 16:45,Change starts with people working together. Read how volunteers in Tucson are organizing to make change a reality: http://t.co/9DZsoYQhQX,0,0.0596,0,0,0
7.84412E+17,813286,10/7/2016 15:14,Check out President Obama's essay in @TheEconomist on the unique challenges the American economy faces. https://t.co/jKJNCrQALL,0.0216,0,0,0,0
7.32621E+17,813286,5/17/2016 17:15,Senate leaders are continuing to obstruct a fair hearing for Judge Garland--help put the pressure on: https://t.co/oCAPRllPZX #DoYourJob,0,0,0.2365,0,0
5.86637E+17,813286,4/10/2015 21:07,WATCH: The Obama administration supports a ban on conversion therapy to protect America's youth. http://t.co/KO5EUFNZ6z,0.0135,0,0,0,0.0185
6.24252E+17,813286,7/23/2015 16:17,"Carbon pollution from power plants is being reduced, even as the economy grows. Read more: http://t.co/djv2Wdqa9i #ActOnClimate",0,0,0,0,0
7.92046E+17,813286,10/28/2016 16:50,Senate leaders' obstruction of our Supreme Court nomination process is unacceptable. Say so: https://t.co/t3pYMO8Fp0 #DoYourJob,0,0,0,0,0
